Latitude,Longitude
34.6695449,37.6511497
34.671025,37.6511798
34.6757032,37.6512128
34.6792417,37.6512186
34.6814067,37.6512088
34.6835749,37.6512659
34.6846288,37.6513263
34.6859031,37.6514377
34.6869941,37.6515719
34.693019,37.65247
34.6956437,37.6529276
34.702838,37.653963
34.7090365,37.6548814
34.711115,37.655212
34.7138659,37.6556246
34.7155912,37.6558415
34.7167785,37.6558949
34.7178347,37.6558706
34.7188777,37.6557651
34.7198168,37.6556147
34.7205927,37.6554389
34.7214597,37.6551693
34.7223647,37.654829
34.7230944,37.6545131
34.7236137,37.6542543
34.7241209,37.6539732
34.7244284,37.6537599
34.7248018,37.6534934
34.7253889,37.6529994
34.7257344,37.6526606
34.7262782,37.6520535
34.726584,37.6516516
34.7270088,37.6510345
34.7272973,37.6505774
34.7276128,37.6499672
34.7279249,37.6491568
34.728261,37.6482106
34.7288517,37.6464942
34.7300639,37.6432162
34.7310445,37.6407587
34.7313003,37.6400318
34.7316219,37.6390913
34.7319388,37.6380715
34.7321766,37.6370579
34.7323937,37.6360071
34.7325326,37.6351217
